sample1,sample2,bMNTD,BC,bNTI,RC,process,grupo
S5A3040,S4B3040,0.008063642849341314,0.4687881432563723,2.5150692549800473,1,Heterogeneous.Selection,Reforma Waterfalls
S5A5565,S4B3040,0.010866436480303068,0.45512283432163964,-0.24267326914786252,0.05305305305305308,Undominated,Reforma Waterfalls
S5B07,S4B3040,0.023878633484866456,0.5898315064880889,6.756700239603394,1,Heterogeneous.Selection,Reforma Waterfalls
S5B1522,S4B3040,0.004929566308122593,0.41558185201449044,0.3765726742348017,1,Dispersal.Limitation,Reforma Waterfalls
S5B3040,S4B3040,0.004063478409457597,0.459460597987053,-1.3100666824742218,1,Dispersal.Limitation,Reforma Waterfalls
S5B5060,S4B3040,0.012401878350686117,0.6148909156367914,-0.1528391108206781,1,Dispersal.Limitation,Reforma Waterfalls
S5A07,S4B5565,0.03904743934891594,0.7012451929092653,10.445187369164646,1,Heterogeneous.Selection,Reforma Waterfalls
S5A1522,S4B5565,0.02807271163637852,0.6280881769701316,6.671928423036982,1,Heterogeneous.Selection,Reforma Waterfalls
S5A3040,S4B5565,0.009968940746161451,0.5008934163150605,1.8202056197196825,1,Dispersal.Limitation,Reforma Waterfalls
S5A5565,S4B5565,0.012673315947093238,0.4883640005878953,1.4934953472428285,0.6476476476476476,Undominated,Reforma Waterfalls
S5B07,S4B5565,0.02783830200489906,0.6004013202007684,7.144457459976926,1,Heterogeneous.Selection,Reforma Waterfalls
S5B1522,S4B5565,0.005797754224541285,0.4208663657933567,1.5964710849579304,1,Dispersal.Limitation,Reforma Waterfalls
S5B3040,S4B5565,0.00276157562465469,0.3867798698788365,-1.0837437606830702,1,Dispersal.Limitation,Reforma Waterfalls
S5B5060,S4B5565,0.007701832698917503,0.5565811309692641,-0.7705540486765033,1,Dispersal.Limitation,Reforma Waterfalls
S5A1522,S5A07,0.005692410286489067,0.32522761420284824,-0.10933171129168313,-1,Homogenizing.Dispersal,Reforma Waterfalls
S5A3040,S5A07,0.014882021657617202,0.4673198151541549,4.652762198249943,-0.8158158158158157,Heterogeneous.Selection,Reforma Waterfalls
S5A5565,S5A07,0.05285429031424414,0.6767362675990969,11.217833796449382,1,Heterogeneous.Selection,Reforma Waterfalls
S5B07,S5A07,0.006933967908282648,0.38349190103502756,3.1569141985551212,-1,Heterogeneous.Selection,Reforma Waterfalls
S5B1522,S5A07,0.019549256328297474,0.5627985648953084,5.778770682786233,0.6736736736736737,Heterogeneous.Selection,Reforma Waterfalls
S5B3040,S5A07,0.03993267145052743,0.7054408319838326,11.6984354528269,1,Heterogeneous.Selection,Reforma Waterfalls
S5B5060,S5A07,0.06233740625740588,0.7840076117824702,12.945345723306371,1,Heterogeneous.Selection,Reforma Waterfalls
S5A3040,S5A1522,0.006005129492196235,0.3259485018381906,1.234206232195175,-1,Homogenizing.Dispersal,Reforma Waterfalls
S5A5565,S5A1522,0.0376751595608389,0.6350401272506473,6.195865542913309,1,Heterogeneous.Selection,Reforma Waterfalls
S5B07,S5A1522,0.0033163782618295815,0.2735850411391871,-0.09791775765204828,-1,Homogenizing.Dispersal,Reforma Waterfalls
S5B1522,S5A1522,0.010119347410084616,0.4218421173061431,2.6334712621939134,-0.5135135135135135,Heterogeneous.Selection,Reforma Waterfalls
S5B3040,S5A1522,0.025680188662420566,0.6166038519485657,5.969862630154769,1,Heterogeneous.Selection,Reforma Waterfalls
S5B5060,S5A1522,0.04724456421491289,0.7655536109036671,7.6984292634283396,1,Heterogeneous.Selection,Reforma Waterfalls
S5A5565,S5A3040,0.014080500156300517,0.5160987839670174,2.3702624218819364,0.9039039039039038,Heterogeneous.Selection,Reforma Waterfalls
S5B07,S5A3040,0.006015137496306418,0.31289132515985774,0.7403066159016056,-0.8838838838838838,Undominated,Reforma Waterfalls
S5B1522,S5A3040,0.0034705518234236414,0.29469067606066507,0.2513448694530824,0.5235235235235236,Undominated,Reforma Waterfalls
S5B3040,S5A3040,0.008992598530432184,0.5250742938417855,1.3586720555056389,1,Dispersal.Limitation,Reforma Waterfalls
S5B5060,S5A3040,0.02053796772325159,0.7113032493637159,1.6847795093271436,1,Dispersal.Limitation,Reforma Waterfalls
S5B07,S5A5565,0.04164749596055384,0.6332576345560222,7.41844075857727,1,Heterogeneous.Selection,Reforma Waterfalls
S5B1522,S5A5565,0.021151140536381122,0.5188278917561088,4.997139973624003,0.917917917917918,Heterogeneous.Selection,Reforma Waterfalls
S5B3040,S5A5565,0.016757392658923686,0.5411834241060676,2.7226783782559747,0.987987987987988,Heterogeneous.Selection,Reforma Waterfalls
S5B5060,S5A5565,0.015141032606513158,0.5486827864669408,3.3221263881583067,0.991991991991992,Heterogeneous.Selection,Reforma Waterfalls
S5B1522,S5B07,0.008163715000974306,0.3630346569271459,2.1279479695299424,-0.06106106106106102,Heterogeneous.Selection,Reforma Waterfalls
S5B3040,S5B07,0.022235613039872693,0.5765230542049139,8.186442766943888,1,Heterogeneous.Selection,Reforma Waterfalls
S5B5060,S5B07,0.044410891133357874,0.7634873269298809,7.573980582003274,1,Heterogeneous.Selection,Reforma Waterfalls
S5B3040,S5B1522,0.0033895377678441925,0.3969200984157291,1.7523188852449634,1,Dispersal.Limitation,Reforma Waterfalls
S5B5060,S5B1522,0.012086214977143156,0.6408002036973398,1.1634721521794802,1,Dispersal.Limitation,Reforma Waterfalls
S5B5060,S5B3040,0.0051374954396115665,0.4678946505489975,1.5751733348057138,1,Dispersal.Limitation,Reforma Waterfalls
S1A1530,S1A015,0.0096081072394655909,0.47963597727404855,1.7894509746044518,0.033033033033033066,Undominated,Miguelito Dike
S1A3050,S1A015,0.013134292997841267,0.5141085565442362,3.1060731056004958,0.6136136136136137,Heterogeneous.Selection,Miguelito Dike
S1A5075,S1A015,0.023119753015788704,0.5771062262768428,5.835576022163461,0.9819819819819819,Heterogeneous.Selection,Miguelito Dike
S1B07,S1A015,0.009825048807330643,0.5780005880532895,-1.1805068094046174,0.987987987987988,Dispersal.Limitation,Miguelito Dike
S1B2230,S1A015,0.06910605801856973,0.7634569530286696,11.143402749747592,1,Heterogeneous.Selection,Miguelito Dike
S1B3040,S1A015,0.12218196057853954,0.767054997581664,17.35798763962365,1,Heterogeneous.Selection,Miguelito Dike
S1B6575,S1A015,0.09180827604339503,0.8183665962898986,13.593824484636226,1,Heterogeneous.Selection,Miguelito Dike
S2A1727,S1A015,0.08767732878423881,0.8127189031539412,15.670413450899275,1,Heterogeneous.Selection,Miguelito Dike
S2A3545,S1A015,0.04281467394926486,0.6578235763227556,9.108311976919005,1,Heterogeneous.Selection,Miguelito Dike
S2A5060,S1A015,0.06235731195195798,0.722758147193285,10.739321893210313,1,Heterogeneous.Selection,Miguelito Dike
S2A515,S1A015,0.07579309915246156,0.7652518270951236,13.085505166661445,1,Heterogeneous.Selection,Miguelito Dike
S2B07,S1A015,0.03214667275646024,0.6068289827520946,4.95292340039585,0.9939939939939939,Heterogeneous.Selection,Miguelito Dike
S2B1522,S1A015,0.07835253443953118,0.7935047436063257,12.232586311413606,1,Heterogeneous.Selection,Miguelito Dike
S2B3040,S1A015,0.07321203964241513,0.7854119296335761,5.006586914672877,1,Heterogeneous.Selection,Miguelito Dike
S2B5565,S1A015,0.11288873628231777,0.7538254330214132,21.38062841902999,1,Heterogeneous.Selection,Miguelito Dike
S3A07,S1A015,0.04725150819418359,0.714922755144243,8.153726342007678,1,Heterogeneous.Selection,Miguelito Dike
S3A1522,S1A015,0.1166296447267488,0.7679427560028457,11.461918596286619,1,Heterogeneous.Selection,Miguelito Dike
S3A3040,S1A015,0.09339606110127831,0.7515864912587241,13.378945909549506,1,Heterogeneous.Selection,Miguelito Dike
S3A6070,S1A015,0.19487251602268146,0.7878897874354993,18.258210312466673,0.8538538538538538,Heterogeneous.Selection,Miguelito Dike
S3B2030,S1A015,0.11855891478961336,0.7636292874319274,18.67862914894449,1,Heterogeneous.Selection,Miguelito Dike
S3B3545,S1A015,0.10449214151567982,0.7610389519300677,14.904790872337607,1,Heterogeneous.Selection,Miguelito Dike
S3B515,S1A015,0.09091695173322965,0.7529855595420779,13.80302493920906,1,Heterogeneous.Selection,Miguelito Dike
S3B6070,S1A015,0.07729540412731434,0.7813472431121017,11.03952065919673,1,Heterogeneous.Selection,Miguelito Dike
S1A3050,S1A1530,0.0023843969377268766,0.3100399100337621,1.8683718410712777,-0.8358358358358359,Undominated,Miguelito Dike
S1A5075,S1A1530,0.004776755998572937,0.37133605130208075,2.160138640055373,0.6076076076076076,Heterogeneous.Selection,Miguelito Dike
S1B07,S1A1530,0.00842175588684702,0.6090195344237525,-2.3205604495953565,1,Homogeneous.Selection,Miguelito Dike
S1B2230,S1A1530,0.032658178446447486,0.6887951126636929,4.945610046246278,1,Heterogeneous.Selection,Miguelito Dike
S1B3040,S1A1530,0.07265968992025322,0.7871327072758866,9.945423362854447,1,Heterogeneous.Selection,Miguelito Dike
S1B6575,S1A1530,0.04849211834952291,0.7645672520646919,5.4724282617212365,1,Heterogeneous.Selection,Miguelito Dike
S2A1727,S1A1530,0.045480015118947746,0.7175324286867379,7.644797266250182,1,Heterogeneous.Selection,Miguelito Dike
