n_nodes	n_edges	density	average_degree	max_degree	components	largest_component_prop	transitivity	natural_connectivity	average_path_length_lcc	modularity_louvain	prop_positive_edges	mean_abs_weight	robustness_auc_random	robustness_auc_targeted	dataset	network_group	bootstrap_id	n_samples_group	n_subsample	edge_density_target	ridge_lambda
200	398	0.02	3.98	18	53	0.68	0.35385182454847	3.99158219534673	3.61372549019608	0.642180753011288	0.71105527638191	0.0416418642635826	0.27075	0.09875	depth_natural	Coastal_natural	64	13	13	0.02	0.1
200	398	0.02	3.98	15	89	0.28	0.802597402597403	7.72759126300452	3.3512987012987	0.797514582965077	0.824120603015075	0.0336293380579236	0.12225	0.057	depth_natural	Coastal_natural	65	13	13	0.02	0.1
200	398	0.02	3.98	19	87	0.275	0.87888287261328	9.71126495355105	3.81279461279461	0.811643014065301	0.944723618090452	0.0321908959864817	0.107375	0.036625	depth_natural	Coastal_natural	66	13	13	0.02	0.1
200	398	0.02	3.98	19	80	0.57	0.559930008748906	6.52800484496504	4.04781866169849	0.677634403171637	0.768844221105528	0.0374587493234809	0.2625	0.08375	depth_natural	Coastal_natural	67	13	13	0.02	0.1
200	398	0.02	3.98	16	70	0.575	0.524185587364265	6.00904260101006	4.25751334858886	0.679806065503397	0.819095477386935	0.0404224467086785	0.212375	0.088375	depth_natural	Coastal_natural	68	13	13	0.02	0.1
200	398	0.02	3.98	23	80	0.55	0.485687903970452	5.19415744816165	3.5069224353628	0.665201005025126	0.708542713567839	0.0410250571283512	0.249	0.06925	depth_natural	Coastal_natural	69	13	13	0.02	0.1
200	398	0.02	3.98	15	70	0.545	0.66281441196465	6.54104836336608	4.12996941896024	0.746186964975632	0.851758793969849	0.0362314162850209	0.222375	0.090375	depth_natural	Coastal_natural	70	13	13	0.02	0.1
200	398	0.02	3.98	24	79	0.56	0.390291262135922	5.67949207672428	3.10698198198198	0.552015731925961	0.726130653266332	0.0407366530443372	0.23675	0.069	depth_natural	Coastal_natural	71	13	13	0.02	0.1
200	398	0.02	3.98	24	100	0.465	0.592709599027947	8.62030749903068	3.34689107059374	0.623238680841393	0.85929648241206	0.0354300391107461	0.172875	0.055875	depth_natural	Coastal_natural	72	13	13	0.02	0.1
200	398	0.02	3.98	24	45	0.755	0.408227848101266	3.7471845835581	4.62887417218543	0.696046185702381	0.78894472361809	0.0423686964350782	0.266625	0.087375	depth_natural	Coastal_natural	73	13	13	0.02	0.1
200	398	0.02	3.98	28	77	0.56	0.397644927536232	5.09075464523061	3.10730373230373	0.601165374611752	0.761306532663317	0.039969586229312	0.24725	0.0835	depth_natural	Coastal_natural	74	13	13	0.02	0.1
200	398	0.02	3.98	15	77	0.42	0.739510489510489	5.89989348837071	4.48565691336776	0.798458372263327	0.904522613065327	0.0325501555690141	0.10175	0.058	depth_natural	Coastal_natural	75	13	13	0.02	0.1
200	398	0.02	3.98	24	65	0.52	0.61965811965812	5.16677056170303	4.09503360716953	0.783708113431479	0.841708542713568	0.0353415770857189	0.18175	0.05825	depth_natural	Coastal_natural	76	13	13	0.02	0.1
200	398	0.02	3.98	23	73	0.595	0.447048611111111	5.97549514789699	3.69249394673123	0.614050150248731	0.708542713567839	0.0402695041332608	0.240375	0.087125	depth_natural	Coastal_natural	77	13	13	0.02	0.1
200	398	0.02	3.98	15	67	0.545	0.572153734590283	4.92876968603951	4.15783214407068	0.750511350723467	0.798994974874372	0.0401255744684413	0.221375	0.073875	depth_natural	Coastal_natural	78	13	13	0.02	0.1
